contract_address,0x02b5453d92b730f29a86a0d5ef6e930c4cf8860b,0x0642026e7f0b6ccac5925b4e7fa61384250e1701,0x0ab87046fbb341d058f17cbc4c1133f25a20a52f,0x0f2d719407fdbeff09d87557abb7232601fd9f29,0x18f00d0d352f14ef0b94bbddbf507b12705fb316,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,0x1b84765de8b7566e4ceaf4d0fd3c5af52d3dde4f,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x4a41775da459b38e641141e4c696df10ec1f4983,0x4a86c01d67965f8cb3d0aaa2c655705e64097c31,0x4eb8b4c65d8430647586cf44af4bf23ded2bb794,0x514910771af9ca656af840dff83e8264ecf986ca,0x622236bb180256b6ae1a935dae08dc0356141632,0x6b175474e89094c44da98b954eedeac495271d0f,0x71ab77b7dbb4fa7e017bc15090b2163221420282,0x73968b9a57c6e53d41345fd57a6e6ae27d6cdb2f,0x853d955acef822db058eb8505911ed77f175b99e,0x98585dfc8d9e7d48f0b1ae47ce33332cf4237d96,0x9ae357521153fb07be6f5792ce7a49752638fbb7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xa8d7f5e7c78ed0fa097cc5ec66c1dc3104c9bbeb,0xb753428af26e81097e7fd17f40c88aaa3e04902c,0xbaac2b4491727d78d2b78815144570b9f2fe8899,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,0xdac17f958d2ee523a2206206994597c13d831ec7,0xea12642633b5cf03d9111efb13512d46502a7597
,USD Balance,H2O,Governance OHM,Synapse,Synapse Chain,agEUR,nUSD,Wrapped BTC,ChainPort,SushiSwap LP Token,Frax Price Index Share,ChainLink Token,Mirror Write Token,Dai Stablecoin,Highstreet token,Stake DAO Token,Frax,New Order,Safe Token,USD Coin,Vesta,Spice,The Doge NFT,Wrapped Ether,Tribe,Tether USD,Synapse Chain
,USDB,H2O,gOHM,SYN,SNC,agEUR,nUSD,WBTC,PORTX,SLP,FPIS,LINK,WRITE,DAI,HIGH,SDT,FRAX,NEWO,SAFE,USDC,VSTA,SFI,DOG,WETH,TRIBE,USDT,SYNCH
2021-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09,0.0,0.0,0.0,1100000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.81805245530964,0.0,0.0,0.0
2021-10,0.0,0.0,0.0,87719.06644798967,0.0,0.0,7.275957614183426e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1467.9999999999998,0.0,0.0,0.0,0.0,1667.9083260000007,0.0,0.0,0.0,52.798227121101,0.0,0.0,0.0
2021-11,0.0,0.0,0.0,4537719.066447989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.02742949544,1467.9999999999998,0.0,0.0,0.0,0.0,10496.516018,0.0,0.0,0.0,87.43725375373099,0.0,5420.657214999999,0.0
2021-12,0.0,0.0,0.0,4537719.066447989,0.0,0.0,418432.0688825427,0.0,0.0,0.0,0.0,0.0,0.0,3200.02742949544,1467.9999999999998,0.0,-1.4551915228366852e-11,0.0,0.0,10496.516018,0.0,0.0,0.0,103.77597675197518,240218.22560322657,5420.657214999999,0.0
2022-01,0.0,0.0,7.232406613237793,4578175.791188297,0.0,0.0,157375.2077583244,0.0,0.0,0.0,0.0,0.0,0.0,3200.02742949544,2798.905999999999,0.0,-1.4551915228366852e-11,0.0,0.0,0.0,0.0,0.0,674999.9999999999,243.79534774803219,644166.1498137529,-9.094947017729282e-13,0.0
2022-02,0.0,0.0,11.53001756969286,4588321.136136089,0.0,0.0,-1.1641532182693481e-10,0.0,0.0,0.0,342189.36662656016,0.0,0.0,546309.6423625193,2855.398699665828,0.0,12704.21726751048,0.0,0.0,0.0,0.0,0.0,834999.9999999999,493.0512427181725,991192.769561718,-9.094947017729282e-13,0.0
2022-03,0.0,0.0,14.856618943057558,4803754.457511327,0.0,0.0,75247.36910638501,0.0,0.0,0.0,342189.36662656016,0.0,0.0,1.1641532182693481e-10,2915.398699665828,0.0,1699.9999999999873,0.0,0.0,326885.4759349999,0.0,0.0,879999.9999999999,585.1659828757683,0.0,-9.094947017729282e-13,0.0
2022-04,699.9999999999999,0.0,19.48235449567652,4813166.76576901,0.0,0.0,190261.5032559958,0.0,0.0,0.0,342189.36662656016,0.0,0.0,1.1641532182693481e-10,2963.398699665828,90.0,12725.364744879344,36108.583331359776,0.0,325788.4759349999,59.99999999999999,0.35,1120000.0,689.1142388488103,0.0,-9.094947017729282e-13,0.0
2022-05,699.9999999999999,0.0,19.48235449567652,4813166.76576901,0.0,0.0,96820.16713003197,0.0,0.0,0.0,342189.36662656016,0.0,0.0,1.1641532182693481e-10,2963.398699665828,90.0,12725.364744879344,36108.583331359776,0.0,-1.1641532182693481e-10,59.99999999999999,0.35,1120000.0,689.1142388488103,0.0,7698.553761000002,0.0
2022-06,699.9999999999999,0.0,19.48235449567652,4805066.76576901,0.0,0.0,-2.0372681319713593e-10,0.0,0.0,0.0,342189.36662656016,0.0,0.0,1.1641532182693481e-10,2963.398699665828,90.0,12725.364744879344,36108.583331359776,0.0,-1.1641532182693481e-10,59.99999999999999,0.35,1120000.0,689.1142388488103,0.0,7698.553761000002,0.0
2022-07,699.9999999999999,0.0,29.23789059285713,4797496.76576901,0.0,0.0,-2.0372681319713593e-10,0.0110053,0.0,0.0,342189.36662656016,0.0,0.0,74531.30452401955,3001.998699665829,90.0,2066.7079182366215,36108.583331359776,0.0,9482.469702999886,59.99999999999999,0.35,1204999.9999999998,883.8788672626033,0.0,281618.109596,0.0
2022-08,699.9999999999999,0.0,29.23789059285713,4727310.76576901,0.0,0.0,-2.0372681319713593e-10,0.0110053,0.0,0.0,342189.36662656016,0.0,0.0,50531.30452401955,3001.998699665829,90.0,2066.7079182366215,36108.583331359776,1769275.9999999998,9482.469702999886,59.99999999999999,0.35,1204999.9999999998,883.8788672626033,0.0,129193.50959599999,0.0
2022-09,819.9999999999999,59.99999999999999,35.665212798414714,4750066.736093927,0.0,59.99999999999999,11676.694518280186,0.08293763,0.0,0.0,342189.36662656016,0.0,0.0,36912.32171706132,3053.998699665829,5339.999999999999,8605.83674689833,125110.5648567944,1769275.9999999998,64055.170698999886,90.0,1.75,1445000.0,1002.7308889083905,0.0,26277.46516999998,0.0
2022-10,819.9999999999999,59.99999999999999,24.26521279841471,4680066.736093927,0.0,59.99999999999999,11316.694518280128,0.08293763,0.0,0.0,342189.36662656016,0.0,0.0,6912.321717061317,3053.998699665829,5339.999999999999,8605.83674689833,125110.5648567944,1769275.9999999998,4055.1706989998856,90.0,1.75,1445000.0,1002.7308889083905,0.0,6277.465169999981,0.0
2022-11,819.9999999999999,59.99999999999999,1.6652127984147072,4571066.736093927,0.0,59.99999999999999,-3.637978807091713e-10,0.08293763,0.0,0.0,342189.36662656016,0.0,0.0,6912.321717061317,3053.998699665829,5339.999999999999,8605.83674689833,125110.5648567944,1769275.9999999998,4055.1706989998856,90.0,1.75,1445000.0,1002.7308889083905,0.0,6277.465169999981,0.0
2022-12,859.9999999999999,59.99999999999999,10.685105786599127,6283340.321639143,0.0,71.99999999999999,50053.68445403795,0.09331992,0.0,16802.218477080136,342189.36662656016,1.6,0.0,11449.024376592155,3115.5795803133733,5913.51582397135,8905.83674689833,159010.56485679443,1769275.9999999998,36400.44275199988,90.0,1.75,1830000.0,1107.7006239148618,0.0,29599.428832999984,0.0
2023-01,859.9999999999999,59.99999999999999,10.685105786599127,6283340.321639143,0.0,71.99999999999999,204610.23004263637,0.09331992,0.0,16802.218477080136,342189.36662656016,1.6,0.0,11449.024376592155,3115.5795803133733,5913.51582397135,26026.607486865516,159010.56485679443,1769275.9999999998,-1.2369127944111824e-10,90.0,1.75,1830000.0,1107.7006239148618,0.0,-1.8189894035458565e-11,7999999.999999999
2023-02,859.9999999999999,59.99999999999999,13.47975611883245,5643984.9822030775,324778534.324556,146.09760431526416,1096025.443549647,0.09781692,0.0,16802.218477080136,342189.36662656016,1.6,0.0,14071.471813559034,3123.5795803133733,5913.51582397135,26226.607486865516,203110.5648567944,1769275.9999999998,8779.630132999877,90.0,1.75,1930000.0,1106.8788672626033,0.0,5850.145190999981,7999999.999999999
2023-03,859.9999999999999,59.99999999999999,13.47975611883245,5273983.9822030775,324778534.324556,146.09760431526416,796025.443549647,0.09781692,0.0,16802.218477080136,342189.36662656016,1.6,0.0,14071.471813559034,3123.5795803133733,5913.51582397135,26226.607486865516,203110.5648567944,1769275.9999999998,8779.630132999877,90.0,1.75,1930000.0,1275.1276246239477,0.0,5850.145190999981,7999999.999999999
2023-04,859.9999999999999,59.99999999999999,13.47975611883245,4920333.9822030775,324778534.324556,146.09760431526416,923530.9134480911,0.09781692,0.0,16802.218477080136,342189.36662656016,1.6,0.0,14071.471813559034,3123.5795803133733,5913.51582397135,26226.607486865516,203110.5648567944,1769275.9999999998,8779.630132999877,90.0,1.75,1930000.0,1275.1276246239477,0.0,5850.145190999981,7999999.999999999
2023-05,859.9999999999999,59.99999999999999,13.47975611883245,4780333.9822030775,324778534.324556,146.09760431526416,923530.9134480911,0.09781692,0.0,16802.218477080136,342189.36662656016,1.6,0.0,14071.471813559034,3123.5795803133733,5913.51582397135,26226.607486865516,203110.5648567944,1769275.9999999998,465037.0312349999,90.0,1.75,1930000.0,1430.9621729622547,0.0,5850.145190999981,7999999.999999999
2023-06,859.9999999999999,59.99999999999999,18.038458868665987,4805722.468779064,324778534.324556,158.09760431526416,1234180.749777893,0.11184635,0.0,16802.218477080136,342189.36662656016,3.2,0.0,14401.471813559034,3155.5795803133733,5913.51582397135,26526.607486865516,279610.56485679443,1769275.9999999998,51524.32382999989,90.0,1.75,2200000.0,1486.2696604974396,0.0,6772.948454999982,7999999.999999999
2023-07,859.9999999999999,59.99999999999999,18.038458868665987,4805722.468779064,324778534.324556,158.09760431526416,934180.749777893,0.11184635,0.0,16802.218477080136,342189.36662656016,3.2,0.0,14401.471813559034,3155.5795803133733,5913.51582397135,26526.607486865516,279610.56485679443,1769275.9999999998,51524.32382999989,90.0,1.75,2200000.0,1486.2696604974396,0.0,6772.948454999982,7999999.999999999
